word,count
1970s.,1
1976,1
"1977,",1
"1984,",4
1990,1
1990s),1
1991-95,1
1995.,1
1997,2
"1998,",1
1998-2008.,1
1:11,1
1:53,1
1½-minut,1
"2,000",6
"2-0,",1
2.3,1
20-foot,2
20.3,1
2000-01,1
2002.,2
2003-04,1
2004,1
"2005,",4
2005-06,1
2005-09.,1
2008-12.,1
2009.,1
2010-14.,1
2011,9
2011-12,1
"2012,",2
2012-16.,1
2013-14,2
2014-15,1
2015-16,1
2016.,6
2017-18,1
2018,11
2018-19,3
"2019,",1
2019-20,1
2019:,1
202.,2
2023-24,1
21.1,2
21.8,1
22-9,1
22.,7
22.6,1
225,1
22nd,3
"23,004",1
23-year-old,3
24,66
"240,",1
"25,",6
25th,5
260,1
274,2
29-19,1
29.,1
29.6,1
2:05,1
2:12,1
2:19,1
2:33,1
2:40,1
2:47,1
3.8,2
30-0,1
30-21.,1
30-27,1
31,33
"31,420",1
31-14,1
31-22.,1
31-63,1
31-point,1
31st,1
"32,",1
32-29,1
33-point,1
33-year-old,1
34-24,1
34-38,1
35-point,3
38,10
38.9,1
39.0,1
4-0.,1
4-9,1
4-of-12,1
4-of-19,1
4-of-7,1
4.,4
4.6,2
40-23,1
40-30,1
40-37,2
400,2
41-25.,1
41-year-old,1
"42-29,",1
42.1,1
421,1
43-33,1
449,1
45,7
"46,",1
46th,1
"48-28,",1
49-footer,1
4:07,1
4:35,1
5-0,2
5-7,1
5-of-13,2
5.4,2
50-19,1
50.6,1
505,1
51-34,1
52,4
53-29,1
53-43,1
533,2
54.5,1
55-39.,1
56-19.,1
57.6,1
58-55,2
59,7
"59),",1
59-49,1
59-56,1
59.2,2
5:08,1
5:15,1
6,30
"6),",1
6-11¾,1
6-5,2
6-foot-8,4
6.2,2
60-22,1
60-57,1
60-loss,1
60th,1
61-58,1
61-59.,1
61.5,1
62-59,1
63-53,1
65-49.,1
66,2
66.9,1
67-win,1
69-52,1
69-67.,1
6:23,1
"7,",2
7-foot,2
7-foot-3,4
7-footer,5
7-footer.,1
7.7,1
70-32,1
708,1
71-62.,1
73,1
73-63,1
74th,1
"75-62,",1
76-66,1
78-40,1
79-69,1
7:03,1
7:10,2
8-1,1
8-23,2
8.5,3
80,1
80-63,2
80-70,1
81-50,1
84-74,1
87,1
87-49,1
88-71,1
89),1
890,1
"9,000",1
9.3,3
92-89,1
"95,",1
96-86,1
97-80,1
98-67,1
98-95,1
AT,4
D,1
Ed,2
If,27
It,95
K,2
Mo,1
OF,12
OT,4
PJ,14
To,9
UP,76
a&m),1
a.m.,5
aaron,9
abil,11
above-the-break,1
acc,6
access,3
accomplish,15
"accountable,",1
accumul,2
achil,2
actress,4
ad,217
adapt,16
adopt,4
adrenalin,1
adrienn,1
adult,2
affili,1
after.,1
against,2
"against,",4
age,8
agency.,1
"agents,",1
aggressiveness.,1
aim,2
air.,2
"airspace,",1
aldrich,1
alford,3
"all,",9
all-american,2
all-confer,1
allow,33
alma,1
alongsid,3
alterc,1
alvin,3
amanot,1
"america,",2
amid,1
amir,4
among,22
amount.,1
"anaheim,",11
analysis.,1
"angeles,",4
"angst,",1
"aniston,",3
"ankle,",7
announc,39
answer,22
"answer,",2
antonio,48
anybodi,8
"anybody,",3
"anything,",3
ap.,1
apart.,2
appl,54
approach,5
april,16
"arbor,",1
"arcade,",1
archibald,1
are.,4
"arena,",10
argu,3
ask,22
assault,2
"assaulted,",1
association',2
association.,4
"athlete,",1
"athletes,",2
atkinson.,1
aton,1
attempt.,2
attempts.,9
attend,15
automat,3
"avenue,",1
ayton',1
ayton.,1
back-to-back.,1
bag,1
balance.,1
"ball,'",2
balm,1
ban,1
bang,3
barrage.,1
baselin,8
bates-diop,1
battl,25
"batum,",1
baylor',6
baylor.,1
beard,19
bears',2
"been-there,",1
behind,62
"behind,",1
"beilein,",3
bell,9
"benefit,",1
"benford,",1
bent,1
"best,",1
bests.,1
better.,8
"betting,",1
bettman',1
